text,emotion
I am confused about the statistics homework because the problem is more interesting than the lecture. (497),Confused
I feel annoyed by the exam preparation and nothing seems to work! (883),Frustrated
This the programming challenge is so boring that I cannot stay focused! (82),Bored
This the research paper review is making me upset because the implementation keeps breaking. (1172),Frustrated
I feel bored because the online lab exercise. (1032),Bored
This the project deadline is so boring that I really cannot stay focused. (111),Bored
I am angry about the algorithm explanation because the assignment is challenging but manageable. (557),Frustrated
I am fed up with the algorithm explanation because the same concept is explained too many times! (805),Frustrated
I wish the research paper review were more stimulating because the tools are behaving inconsistently! (1189),Bored
I handled the the research paper review successfully and I feel assured. (263),Confident
I am fed up with the coding assignment because the error keeps appearing even after retries! (148),Frustrated
The the exam preparation is monotonous and I keep zoning out! (982),Bored
I am lost in the physics problem set because the instructions are vague! (142),Confused
I feel annoyed by the quiz preparation and nothing seems to work. (770),Frustrated
The solution for the lecture on recursion is clear now and I feel prepared! (265),Confident
I am fascinated by the lecture on recursion and I want to understand the reasoning! (193),Curious
I find the machine learning model dull and unmotivating because the problem is more interesting than the lecture. (374),Bored
I feel confident because the lecture on recursion. (995),Confident
The explanation for the exam preparation is mixed up and I cannot follow it. (740),Confused
I am uninterested in the programming challenge because it feels repetitive and dull. (623),Bored
I find the quiz preparation dull and unmotivating because the reasoning finally clicked. (1188),Bored
This the statistics homework feels fascinating and I want to investigate it. (305),Curious
This the algorithm explanation is unclear and I am not sure how to proceed. (327),Confused
I am keen to find out how the engineering design task behaves under different conditions. (75),Curious
I am lost in the physics problem set because the instructions are vague. (789),Confused
The concept of the engineering design task seems unclear to me in this problem. (281),Confused
I am frustrated because the presentation slides keeps failing. (524),Frustrated
I am confused about the group assignment because the assignment is challenging but manageable. (1103),Confused
The explanation for the quiz preparation is mixed up and I really cannot follow it! (256),Confused
I really wish the statistics homework were more stimulating because the task feels too predictable. (546),Bored
I am perplexed by this mathematics proof because I need more examples before I can proceed. (977),Confused
the programming challenge feels sleepy and I really cannot stay engaged! (856),Bored
The solution for the engineering design task is clear now and I feel prepared. (135),Confident
The lesson on the machine learning model is so repetitive that I lose focus! (424),Bored
This the statistics homework feels fascinating and I want to investigate it! (1135),Curious
I am not interested in the machine learning model because the reasoning finally clicked. (569),Bored
This the debugging session is so boring that I really cannot stay focused! (301),Bored
I am lost in the engineering design task because the instructions are vague. (635),Confused
I am perplexed by the exam review notes because the problem is more interesting than the lecture. (1025),Confused
I would like to explore the project deadline because it seems promising. (368),Curious
I am perplexed by the algorithm explanation because the instructions are not clear enough! (358),Confused
I have no idea how to start the data science project because the examples are too repetitive. (609),Confused
I do not understand the coding assignment and I feel stuck. (180),Confused
This the research paper review is so frustrating that I want to restart! (1045),Frustrated
The idea behind the exam review notes intrigues me and I want to study it. (645),Curious
This the project deadline is so boring that I cannot stay focused! (1114),Bored
I wish the statistics homework were more stimulating because the deadline is approaching quickly. (764),Bored
I solved the the exam review notes and I am comfortable explaining it. (842),Confident
This the algorithm explanation is so frustrating that I want to restart! (19),Frustrated
I really feel bored because the data science project. (431),Bored
The the presentation slides is stressing me out and I feel stuck! (265),Frustrated
I really am frustrated because the coding assignment keeps failing. (701),Frustrated
I have mastered the data science project and I can apply it with ease! (13),Confident
I feel puzzled by the research paper review and I cannot separate the steps. (230),Confused
The the statistics homework is stressing me out and I feel stuck. (653),Frustrated
the research paper review feels sleepy and I cannot stay engaged! (850),Bored
Nothing works in the research paper review and I feel exhausted by the errors! (523),Frustrated
The lesson on the self study module is so repetitive that I lose focus. (927),Bored
I really am eager to discover how the data science project works in practice. (471),Curious
This the self study module feels fascinating and I want to investigate it! (775),Curious
I finally understood the debugging session and I feel ready to proceed. (87),Confident
I really find the exam preparation dull and unmotivating because the deadline is approaching quickly. (296),Bored
I am lost in the machine learning model because the instructions are vague! (214),Confused
I feel confident because the debugging session. (564),Confident
I do not understand the online lab exercise and I feel stuck. (615),Confused
This the physics problem set feels fascinating and I want to investigate it. (128),Curious
I am interested in understanding the algorithm explanation in more depth. (234),Curious
I am confused about the coding assignment because I need more examples before I can proceed! (418),Confused
I wish the self study module were more stimulating because the task feels too predictable! (562),Bored
I am frustrated because the exam review notes keeps failing! (604),Frustrated
the exam preparation feels sleepy and I cannot stay engaged. (257),Bored
the exam review notes feels sleepy and I cannot stay engaged. (522),Bored
I wish the coding assignment were more stimulating because the deadline is approaching quickly! (1024),Bored
The the project deadline is stressing me out and I feel stuck. (470),Frustrated
I really am not interested in the presentation slides because the assignment is challenging but manageable. (771),Bored
I am eager to discover how the project deadline works in practice. (140),Curious
I am unsure how to use the group assignment correctly in this assignment! (703),Confused
The the data science project is stressing me out and I really feel stuck. (881),Frustrated
I find the data science project dull and unmotivating because the pace is too slow for my level! (238),Bored
The the debugging session is stressing me out and I feel stuck. (894),Frustrated
I understand the statistics homework well enough to teach it to someone else! (79),Confident
I am perplexed by the data science project because the pace is too slow for my level! (643),Confused
This the coding assignment is so frustrating that I want to restart. (1167),Frustrated
I am keen to find out how the exam review notes behaves under different conditions. (888),Curious
I feel puzzled by the engineering design task and I cannot separate the steps! (1189),Confused
I really am eager to discover how the group assignment works in practice. (416),Curious
I really am lost in the data science project because the instructions are vague. (1151),Confused
This the statistics homework feels fascinating and I want to investigate it. (593),Curious
I am angry about the engineering design task because the task feels too predictable. (429),Frustrated
I have no idea how to start the engineering design task because the same concept is explained too many times. (329),Confused
The deadline for the research paper review is causing me a lot of stress! (700),Frustrated
I am curious about the quiz preparation because I want to understand the intuition behind it. (1100),Curious
The the algorithm explanation is stressing me out and I feel stuck. (542),Frustrated
I am fed up with this mathematics proof because the implementation keeps breaking. (872),Frustrated
I solved the the project deadline and I am comfortable explaining it. (230),Confident
The approach for the programming challenge now makes sense and I feel ready! (538),Confident
I really feel bored because the coding assignment. (1011),Bored
The solution for the coding assignment is clear now and I feel prepared! (592),Confident
I handled the the algorithm explanation successfully and I feel assured! (388),Confident
The the online lab exercise is monotonous and I keep zoning out. (1140),Bored
I am keen to find out how the engineering design task behaves under different conditions! (190),Curious
The approach for the physics problem set now makes sense and I really feel ready! (781),Confident
The lesson on the engineering design task is so repetitive that I really lose focus! (196),Bored
This the data science project is so boring that I cannot stay focused. (780),Bored
I want to explore the debugging session further and learn more. (933),Curious
The idea behind the quiz preparation intrigues me and I want to study it. (1022),Curious
The concept of the statistics homework seems unclear to me in this problem. (887),Confused
The lesson on the machine learning model is so repetitive that I lose focus. (14),Bored
I handled the the exam preparation successfully and I feel assured. (1182),Confident
The solution for the exam review notes is clear now and I feel prepared. (729),Confident
the physics problem set feels sleepy and I cannot stay engaged. (404),Bored
I really am frustrated because the statistics homework keeps failing. (921),Frustrated
I have mastered the debugging session and I can apply it with ease. (533),Confident
The approach for the exam review notes now makes sense and I feel ready. (965),Confident
I really wish the statistics homework were more stimulating because the error keeps appearing even after retries. (311),Bored
I feel puzzled by the engineering design task and I cannot separate the steps. (582),Confused
I understand the exam preparation well enough to teach it to someone else! (643),Confident
This the physics problem set is so boring that I cannot stay focused. (30),Bored
the debugging session feels sleepy and I cannot stay engaged. (104),Bored
The explanation for the quiz preparation is mixed up and I cannot follow it. (657),Confused
I want to learn more about the presentation slides and its real world applications! (385),Curious
I solved the the lecture on recursion and I am comfortable explaining it. (749),Confident
The deadline for the programming challenge is causing me a lot of stress. (248),Frustrated
I do not understand the debugging session and I feel stuck. (87),Confused
I solved the the coding assignment and I am comfortable explaining it. (219),Confident
I am lost in the online lab exercise because the instructions are vague! (160),Confused
The idea behind the statistics homework intrigues me and I really want to study it. (791),Curious
The lesson on the exam preparation is so repetitive that I lose focus. (227),Bored
This the exam preparation is so frustrating that I want to restart. (614),Frustrated
The approach for the presentation slides now makes sense and I really feel ready. (291),Confident
I really am curious about the machine learning model because the task feels too predictable. (371),Curious
I am eager to discover how the group assignment works in practice. (353),Curious
I am keen to find out how the algorithm explanation behaves under different conditions. (1173),Curious
The the machine learning model is stressing me out and I feel stuck. (537),Frustrated
I am frustrated because the exam preparation keeps failing. (377),Frustrated
I am sure about the project deadline because the instructions are not clear enough. (630),Confident
the programming challenge feels sleepy and I cannot stay engaged! (979),Bored
The concept of the project deadline seems unclear to me in this problem. (1053),Confused
I am comfortable with the data science project because the assignment is challenging but manageable. (333),Confident
I am sure about this mathematics proof because the deadline is approaching quickly. (1092),Confident
I really am curious about the presentation slides because the same concept is explained too many times! (706),Curious
I really am angry about the physics problem set because the assignment is challenging but manageable. (186),Frustrated
I want to learn more about the quiz preparation and its real world applications. (768),Curious
I really feel confident because the physics problem set! (706),Confident
The solution for the exam review notes is clear now and I feel prepared! (793),Confident
The explanation for the engineering design task is mixed up and I cannot follow it. (942),Confused
The solution for the exam preparation is clear now and I feel prepared. (47),Confident
I am uninterested in the online lab exercise because it feels repetitive and dull. (902),Bored
I am not interested in the algorithm explanation because the output matches my expectation. (855),Bored
I really feel bored because the research paper review! (121),Bored
This the coding assignment is so frustrating that I want to restart. (1052),Frustrated
I am interested in understanding the debugging session in more depth. (725),Curious
I am sure about the presentation slides because the pace is too slow for my level. (935),Confident
I am eager to discover how the exam review notes works in practice. (134),Curious
Nothing works in the physics problem set and I feel exhausted by the errors. (222),Frustrated
I feel confident because the exam review notes. (534),Confident
I understand the self study module well enough to teach it to someone else! (610),Confident
I am comfortable with the statistics homework because the instructions are not clear enough. (722),Confident
This the debugging session is making me upset because the logic is hard to connect to the examples. (180),Frustrated
I do not understand the debugging session and I feel stuck. (90),Confused
I want to learn more about the exam preparation and its real world applications! (40),Curious
I find the quiz preparation dull and unmotivating because the same concept is explained too many times. (560),Bored
The deadline for the physics problem set is causing me a lot of stress. (933),Frustrated
I solved the this mathematics proof and I am comfortable explaining it! (574),Confident
I am confused about the engineering design task because the problem is more interesting than the lecture! (232),Confused
I am irritated by the self study module and I cannot make progress. (203),Frustrated
I really am curious about the self study module because the task feels too predictable! (46),Curious
I want to explore this mathematics proof further and learn more! (1150),Curious
I am irritated by the physics problem set and I cannot make progress! (322),Frustrated
I feel puzzled by the data science project and I cannot separate the steps. (162),Confused
I am lost in the physics problem set because the instructions are vague. (587),Confused
I really am lost in the quiz preparation because the instructions are vague. (611),Confused
I am unsure how to use the project deadline correctly in this assignment! (412),Confused
I am comfortable with the programming challenge because the explanation uses unfamiliar words. (549),Confident
I am perplexed by the machine learning model because the logic is hard to connect to the examples. (1175),Confused
I really am fed up with the self study module because the deadline is approaching quickly! (406),Frustrated
I am angry about the physics problem set because the examples are too repetitive. (599),Frustrated
I have mastered the machine learning model and I can apply it with ease! (655),Confident
The deadline for the presentation slides is causing me a lot of stress. (744),Frustrated
I am interested in understanding the data science project in more depth. (975),Curious
I really am comfortable with the group assignment because the problem is more interesting than the lecture. (81),Confident
I am comfortable with this mathematics proof because the error keeps appearing even after retries. (570),Confident
I wish the group assignment were more stimulating because the task feels too predictable. (503),Bored
I feel puzzled by the project deadline and I cannot separate the steps! (670),Confused
I wish the engineering design task were more stimulating because the explanation uses unfamiliar words. (234),Bored
Nothing works in the data science project and I feel exhausted by the errors. (839),Frustrated
I am confused about the self study module because I can explain the result to others! (745),Confused
I am not interested in the group assignment because the pace is too slow for my level. (500),Bored
I really do not understand the statistics homework and I feel stuck! (916),Confused
I am not interested in this mathematics proof because the reasoning finally clicked! (1069),Bored
This the machine learning model is so boring that I cannot stay focused. (383),Bored
I really am interested in understanding the engineering design task in more depth. (986),Curious
Nothing works in the project deadline and I really feel exhausted by the errors. (1106),Frustrated
I am unsure how to use this mathematics proof correctly in this assignment. (1020),Confused
I really handled the the lecture on recursion successfully and I feel assured. (131),Confident
I have mastered the lecture on recursion and I can apply it with ease. (308),Confident
I am comfortable with the project deadline because the assignment is challenging but manageable. (878),Confident
I am curious about the debugging session because the reasoning finally clicked! (1123),Curious
I have no idea how to start the programming challenge because I can already see the pattern! (880),Confused
I would like to explore the algorithm explanation because it seems promising. (12),Curious
The lesson on the coding assignment is so repetitive that I lose focus. (128),Bored
I really finally understood the statistics homework and I feel ready to proceed. (161),Confident
The solution for the debugging session is clear now and I feel prepared. (284),Confident
I have no idea how to start the data science project because the feedback is too generic. (449),Confused
I am comfortable with the group assignment because the assignment is challenging but manageable. (680),Confident
I am fed up with the online lab exercise because the problem is more interesting than the lecture. (620),Frustrated
The the data science project is monotonous and I keep zoning out. (354),Bored
The idea behind the debugging session intrigues me and I want to study it! (13),Curious
I am interested in understanding the algorithm explanation in more depth. (623),Curious
I am irritated by the project deadline and I cannot make progress! (415),Frustrated
I do not understand the programming challenge and I feel stuck. (930),Confused
I feel annoyed by the engineering design task and nothing seems to work. (249),Frustrated
I want to learn more about the engineering design task and its real world applications. (369),Curious
I am irritated by the self study module and I cannot make progress. (287),Frustrated
I solved the the online lab exercise and I am comfortable explaining it. (660),Confident
I really am eager to discover how the physics problem set works in practice. (441),Curious
The deadline for the research paper review is causing me a lot of stress. (956),Frustrated
I am perplexed by the research paper review because the explanation uses unfamiliar words! (784),Confused
I am fed up with the physics problem set because the logic is hard to connect to the examples. (89),Frustrated
I want to learn more about the presentation slides and its real world applications. (189),Curious
I understand the lecture on recursion well enough to teach it to someone else. (540),Confident
This the self study module is so frustrating that I want to restart. (9),Frustrated
I am not interested in the physics problem set because the deadline is approaching quickly. (809),Bored
This the data science project is so frustrating that I want to restart. (182),Frustrated
I solved the the algorithm explanation and I am comfortable explaining it. (644),Confident
This the group assignment is too slow paced and I keep daydreaming. (858),Bored
I am fascinated by the physics problem set and I want to understand the reasoning! (619),Curious
This the research paper review is too slow paced and I keep daydreaming! (73),Bored
I really am eager to discover how the statistics homework works in practice. (386),Curious
This the debugging session is so boring that I cannot stay focused! (1117),Bored
The approach for the machine learning model now makes sense and I feel ready. (120),Confident
I really feel annoyed by the programming challenge and nothing seems to work. (1161),Frustrated
I am curious about the exam review notes because the output matches my expectation! (460),Curious
the coding assignment feels sleepy and I really cannot stay engaged. (561),Bored
I really am uninterested in the exam preparation because it feels repetitive and dull. (656),Bored
I am perplexed by the quiz preparation because the tools are behaving inconsistently. (299),Confused
The the presentation slides is stressing me out and I really feel stuck! (451),Frustrated
This the engineering design task feels fascinating and I want to investigate it. (1187),Curious
I am unsure how to use the research paper review correctly in this assignment. (165),Confused
I would like to explore the presentation slides because it seems promising! (604),Curious
I want to learn more about the project deadline and its real world applications! (130),Curious
The explanation for the lecture on recursion is mixed up and I cannot follow it. (689),Confused
I am eager to discover how the statistics homework works in practice! (994),Curious
I solved the the statistics homework and I am comfortable explaining it. (285),Confident
Nothing works in this mathematics proof and I feel exhausted by the errors! (943),Frustrated
The the programming challenge is stressing me out and I feel stuck! (343),Frustrated
I finally understood the algorithm explanation and I feel ready to proceed. (969),Confident
I really am angry about the research paper review because the assignment is challenging but manageable. (771),Frustrated
I am not interested in the group assignment because the error keeps appearing even after retries. (1004),Bored
The solution for the self study module is clear now and I feel prepared! (25),Confident
The the data science project is monotonous and I keep zoning out. (843),Bored
I want to learn more about the exam preparation and its real world applications! (268),Curious
I really am not interested in the self study module because the task feels too predictable! (16),Bored
I really am interested in understanding the programming challenge in more depth. (521),Curious
I feel puzzled by this mathematics proof and I cannot separate the steps. (1023),Confused
The the quiz preparation is monotonous and I really keep zoning out! (916),Bored
This the data science project is unclear and I am not sure how to proceed. (240),Confused
I am eager to discover how the exam review notes works in practice. (105),Curious
This the algorithm explanation is so frustrating that I want to restart. (1004),Frustrated
I do not understand the quiz preparation and I feel stuck. (374),Confused
This the quiz preparation feels fascinating and I want to investigate it! (634),Curious
I want to explore the machine learning model further and learn more. (413),Curious
I have no idea how to start the engineering design task because the instructions are not clear enough. (1163),Confused
I have no idea how to start the coding assignment because the feedback is too generic. (339),Confused
I am fascinated by the lecture on recursion and I want to understand the reasoning. (653),Curious
I really am fascinated by the algorithm explanation and I want to understand the reasoning. (936),Curious
I am interested in understanding the algorithm explanation in more depth. (60),Curious
I am not interested in the lecture on recursion because the implementation keeps breaking! (883),Bored
I am perplexed by the exam review notes because the examples are too repetitive. (762),Confused
I have mastered the online lab exercise and I can apply it with ease. (1157),Confident
I really am uninterested in the statistics homework because it feels repetitive and dull. (641),Bored
This the data science project is so boring that I cannot stay focused. (1002),Bored
I solved the the project deadline and I am comfortable explaining it. (1190),Confident
I really am unsure how to use the debugging session correctly in this assignment. (96),Confused
The the presentation slides is stressing me out and I feel stuck. (210),Frustrated
I am perplexed by the physics problem set because the examples are too repetitive. (1100),Confused
I am sure about the physics problem set because I want to understand the intuition behind it. (704),Confident
I am interested in understanding the data science project in more depth. (809),Curious
I do not understand the algorithm explanation and I feel stuck. (197),Confused
I am keen to find out how this mathematics proof behaves under different conditions! (1144),Curious
This the algorithm explanation is unclear and I am not sure how to proceed. (1070),Confused
I am not interested in the machine learning model because the pace is too slow for my level! (490),Bored
The idea behind the engineering design task intrigues me and I want to study it. (972),Curious
The explanation for the research paper review is mixed up and I really cannot follow it. (881),Confused
The deadline for the self study module is causing me a lot of stress. (1187),Frustrated
I am eager to discover how the exam review notes works in practice! (418),Curious
This the presentation slides is so frustrating that I want to restart! (745),Frustrated
I wish the exam preparation were more stimulating because the pace is too slow for my level! (109),Bored
I am curious about the physics problem set because the deadline is approaching quickly. (602),Curious
I wish the quiz preparation were more stimulating because the explanation uses unfamiliar words! (25),Bored
I want to learn more about the exam preparation and its real world applications! (55),Curious
The concept of the research paper review seems unclear to me in this problem. (189),Confused
I am lost in the project deadline because the instructions are vague. (383),Confused
This the self study module is making me upset because I want to understand the intuition behind it. (1070),Frustrated
The the self study module is monotonous and I keep zoning out. (8),Bored
the presentation slides feels sleepy and I cannot stay engaged! (769),Bored
I handled the the group assignment successfully and I feel assured. (828),Confident
Nothing works in the project deadline and I feel exhausted by the errors! (1024),Frustrated
This the debugging session feels fascinating and I really want to investigate it. (591),Curious
I want to explore the presentation slides further and learn more! (823),Curious
I really have mastered the lecture on recursion and I can apply it with ease. (626),Confident
I finally understood the debugging session and I feel ready to proceed. (1050),Confident
The explanation for the programming challenge is mixed up and I cannot follow it! (808),Confused
I am confused about the exam preparation because the problem is more interesting than the lecture. (135),Confused
I am angry about the programming challenge because the problem is more interesting than the lecture! (193),Frustrated
I am uninterested in the debugging session because it feels repetitive and dull! (283),Bored
I am confused about the exam preparation because I need more examples before I can proceed. (330),Confused
I am irritated by the lecture on recursion and I cannot make progress. (362),Frustrated
I am keen to find out how the exam preparation behaves under different conditions. (225),Curious
The the exam review notes is stressing me out and I feel stuck! (1150),Frustrated
I am curious about the physics problem set because the assignment is challenging but manageable! (109),Curious
I really do not understand the debugging session and I feel stuck. (1041),Confused
I am confused about the statistics homework because I want to understand the intuition behind it. (147),Confused
The lesson on the presentation slides is so repetitive that I lose focus! (550),Bored
I have mastered the presentation slides and I can apply it with ease. (1032),Confident
I am irritated by the project deadline and I cannot make progress! (547),Frustrated
I am unsure how to use the coding assignment correctly in this assignment! (1144),Confused
The concept of the online lab exercise seems unclear to me in this problem. (959),Confused
This the lecture on recursion is unclear and I am not sure how to proceed. (314),Confused
the engineering design task feels sleepy and I cannot stay engaged! (772),Bored
The approach for the research paper review now makes sense and I feel ready! (1033),Confident
This the group assignment feels fascinating and I really want to investigate it. (866),Curious
The deadline for this mathematics proof is causing me a lot of stress. (473),Frustrated
I want to learn more about the exam preparation and its real world applications. (1137),Curious
This the self study module is making me upset because the deadline is approaching quickly! (124),Frustrated
The the lecture on recursion is monotonous and I really keep zoning out. (1136),Bored
This the lecture on recursion is unclear and I really am not sure how to proceed. (471),Confused
This the lecture on recursion is making me upset because the feedback is too generic. (267),Frustrated
I am not interested in the lecture on recursion because the explanation uses unfamiliar words! (10),Bored
I really am lost in the coding assignment because the instructions are vague. (1086),Confused
I am curious about the research paper review because I can already see the pattern. (980),Curious
I find the project deadline dull and unmotivating because I can explain the result to others. (933),Bored
The concept of the engineering design task seems unclear to me in this problem. (1190),Confused
The concept of the programming challenge seems unclear to me in this problem. (852),Confused
I do not understand the engineering design task and I feel stuck! (802),Confused
This the presentation slides is too slow paced and I keep daydreaming! (598),Bored
This the exam review notes is so frustrating that I want to restart. (734),Frustrated
I have mastered the research paper review and I can apply it with ease! (523),Confident
This the presentation slides is making me upset because the pace is too slow for my level. (356),Frustrated
The idea behind the research paper review intrigues me and I really want to study it! (601),Curious
I really feel puzzled by the physics problem set and I cannot separate the steps. (191),Confused
I would like to explore the statistics homework because it seems promising! (4),Curious
I really am curious about the presentation slides because the logic is hard to connect to the examples. (651),Curious
I do not understand this mathematics proof and I feel stuck. (219),Confused
The solution for the quiz preparation is clear now and I feel prepared. (545),Confident
the research paper review feels sleepy and I cannot stay engaged! (895),Bored
I really understand the self study module well enough to teach it to someone else. (831),Confident
The explanation for the machine learning model is mixed up and I cannot follow it! (193),Confused
I am not interested in the data science project because the problem is more interesting than the lecture! (340),Bored
I really find the debugging session dull and unmotivating because the same concept is explained too many times! (661),Bored
I really feel puzzled by the online lab exercise and I cannot separate the steps. (786),Confused
I am lost in the exam review notes because the instructions are vague. (993),Confused
I understand the quiz preparation well enough to teach it to someone else. (884),Confident
the programming challenge feels sleepy and I cannot stay engaged. (777),Bored
I am lost in the presentation slides because the instructions are vague. (795),Confused
This the self study module feels fascinating and I want to investigate it. (1059),Curious
I am curious about the research paper review because the task feels too predictable! (145),Curious
I feel confident because the project deadline. (602),Confident
The the exam review notes is monotonous and I keep zoning out. (698),Bored
I am comfortable with the engineering design task because the deadline is approaching quickly. (998),Confident
The the lecture on recursion is stressing me out and I feel stuck! (214),Frustrated
The solution for the group assignment is clear now and I feel prepared! (889),Confident
The lesson on the online lab exercise is so repetitive that I lose focus. (507),Bored
I am perplexed by the online lab exercise because I want to understand the intuition behind it. (482),Confused
The approach for the exam preparation now makes sense and I feel ready. (873),Confident
The deadline for the quiz preparation is causing me a lot of stress. (1196),Frustrated
I really feel annoyed by the project deadline and nothing seems to work! (271),Frustrated
I would like to explore the group assignment because it seems promising! (1069),Curious
The the research paper review is stressing me out and I feel stuck. (1179),Frustrated
I really am perplexed by the statistics homework because the output matches my expectation. (501),Confused
I am keen to find out how the statistics homework behaves under different conditions! (448),Curious
I want to explore the algorithm explanation further and learn more. (159),Curious
I am sure about the research paper review because I can explain the result to others! (475),Confident
I am not interested in the programming challenge because I want to understand the intuition behind it. (125),Bored
I feel confident because the algorithm explanation. (248),Confident
I do not understand the project deadline and I feel stuck! (355),Confused
I really would like to explore the group assignment because it seems promising. (546),Curious
the coding assignment feels sleepy and I cannot stay engaged. (708),Bored
I really am frustrated because the presentation slides keeps failing! (496),Frustrated
I want to learn more about the debugging session and its real world applications. (639),Curious
I finally understood the group assignment and I feel ready to proceed. (1047),Confident
I feel puzzled by the research paper review and I cannot separate the steps. (719),Confused
I find the presentation slides dull and unmotivating because the deadline is approaching quickly. (768),Bored
This the engineering design task feels fascinating and I really want to investigate it. (551),Curious
I really am irritated by the self study module and I cannot make progress! (661),Frustrated
I do not understand the algorithm explanation and I feel stuck. (107),Confused
The explanation for the presentation slides is mixed up and I cannot follow it. (275),Confused
I want to learn more about the exam review notes and its real world applications. (882),Curious
I am not interested in the programming challenge because I want to understand the intuition behind it. (815),Bored
I would like to explore the presentation slides because it seems promising. (695),Curious
I find the quiz preparation dull and unmotivating because the implementation keeps breaking. (440),Bored
I really want to learn more about the exam preparation and its real world applications. (891),Curious
I feel bored because the research paper review. (287),Bored
I am uninterested in the self study module because it feels repetitive and dull. (1052),Bored
I find the machine learning model dull and unmotivating because the deadline is approaching quickly. (255),Bored
This the algorithm explanation is unclear and I am not sure how to proceed! (598),Confused
I am interested in understanding the physics problem set in more depth. (1014),Curious
I really am interested in understanding the lecture on recursion in more depth. (296),Curious
I solved the the data science project and I am comfortable explaining it. (948),Confident
I am comfortable with the research paper review because I can already see the pattern. (1073),Confident
I am eager to discover how the group assignment works in practice. (930),Curious
I am lost in the lecture on recursion because the instructions are vague. (773),Confused
This the project deadline is so boring that I really cannot stay focused. (651),Bored
This the machine learning model is so frustrating that I want to restart. (1109),Frustrated
I want to explore the presentation slides further and learn more! (394),Curious
I do not understand the physics problem set and I feel stuck. (602),Confused
I do not understand this mathematics proof and I feel stuck! (202),Confused
I am unsure how to use the quiz preparation correctly in this assignment. (1145),Confused
This the project deadline is making me upset because the deadline is approaching quickly! (58),Frustrated
This the exam review notes feels fascinating and I want to investigate it. (522),Curious
I want to learn more about this mathematics proof and its real world applications. (923),Curious
I feel puzzled by the self study module and I cannot separate the steps. (20),Confused
I am curious about the exam preparation because the pace is too slow for my level. (218),Curious
I am unsure how to use the algorithm explanation correctly in this assignment. (707),Confused
I really am fed up with the online lab exercise because the task feels too predictable! (331),Frustrated
I want to learn more about the statistics homework and its real world applications. (665),Curious
The approach for the online lab exercise now makes sense and I feel ready! (145),Confident
I am comfortable with the lecture on recursion because the logic is hard to connect to the examples. (8),Confident
I want to learn more about the debugging session and its real world applications! (907),Curious
I have mastered the exam review notes and I can apply it with ease! (790),Confident
I am frustrated because the coding assignment keeps failing! (1165),Frustrated
This the lecture on recursion feels fascinating and I want to investigate it. (1035),Curious
the self study module feels sleepy and I cannot stay engaged! (1195),Bored
I have mastered the exam review notes and I can apply it with ease. (1004),Confident
The explanation for the algorithm explanation is mixed up and I cannot follow it. (849),Confused
